adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,/2KGxQFV9Wp1MshPBf8BuqWUgVAz.jpg,"[16, 28, 12, 35, 10751]",940551,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",317.534,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,Migration,False,7.4,1753,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']"
False,/kB7Eo8fjyHn4a80A2WUfW6YiMPG.jpg,"[27, 878, 53]",1190868,en,V/H/S/Beyond,"The infinite playground of forbidden worlds and dangerous lifeforms offered by the sci-fi horror genre will lead to the biggest, maddest, bloodiest V/H/S ever.",216.719,/wXaf6VGNHIGU7qivapGOF7o4o4N.jpg,2024-09-20,V/H/S/Beyond,False,6.996,116,"['Horror', 'Science Fiction', 'Thriller']"
False,/kB7Eo8fjyHn4a80A2WUfW6YiMPG.jpg,"[27, 878, 53]",1190868,en,V/H/S/Beyond,"The infinite playground of forbidden worlds and dangerous lifeforms offered by the sci-fi horror genre will lead to the biggest, maddest, bloodiest V/H/S ever.",216.719,/wXaf6VGNHIGU7qivapGOF7o4o4N.jpg,2024-09-20,V/H/S/Beyond,False,7.0,115,"['Horror', 'Science Fiction', 'Thriller']"
False,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,"[878, 12, 28]",667538,en,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",260.17,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,2023-06-06,Transformers: Rise of the Beasts,False,7.3,4538,"['Science Fiction', 'Adventure', 'Action']"
False,/jf1V00dZdNkVfEq7VPk8frrlELk.jpg,"[27, 9648]",748230,en,Salem's Lot,Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.,208.431,/j7ncdqBVufydVzVtxmXu8Ago4ox.jpg,2024-10-03,Salem's Lot,False,6.256,303,"['Horror', 'Mystery']"
False,/vHJlbhsXrZ5yrO2KqCbGSIU6fRX.jpg,"[28, 9648, 878, 53]",198663,en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",238.769,/ode14q7WtDugFDp78fo9lCsmay9.jpg,2014-09-10,The Maze Runner,False,7.188,16899,"['Action', 'Mystery', 'Science Fiction', 'Thriller']"
False,/xiKwkUUmRTqqZJP4akBHgWnD6Hv.jpg,[10749],698343,ko,딸의 친구 5,"Ha-neul haven't seen her friend, Ye-sol for a long time, and so they spent a good time together. That time, Ye-sol's father, Min-soo enters the house.  Ha-neul sees the young-looking Min-soo and makes a fuss. Ye-sol who is a little bit tipsy tells Ha-neul that he is her stepfather.  That night, Ha-neul secretly entered sexy Min-soo's room...",217.785,/iyI4yY4bUtWS1demuvjfGj5Jclw.jpg,2020-04-23,I Don't Like Younger Men 5,False,7.1,9,['Romance']
False,/wW7Wt5bXzPy4VOEE4LTIUDyDgBo.jpg,"[12, 14, 28]",22,en,Pirates of the Caribbean: The Curse of the Black Pearl,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",162.871,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,False,7.8,20482,"['Adventure', 'Fantasy', 'Action']"
False,/phZbS20UWYgsuZQSYumFtyWuuzm.jpg,"[10751, 35]",1030076,es,Padre no hay más que uno 4: Campanas de boda,"The eldest of the family, Sara, comes of age and brings chaos to the family by announcing her intention to marry Ocho. Javier and Marisa try to avoid it at all costs. At the same time Dani has an existential crisis, Paulita feels jealous of Cris, Carlota announces that she has found a boyfriend from a high society family and Rocio has finally managed to be cast in her first film.",172.122,/hTMvGolGJLF0GQ7mlwNjbXpsPZ.jpg,2024-07-17,Padre no hay más que uno 4: Campanas de boda,False,6.7,52,"['Family', 'Comedy']"
False,/aQsyj7bBgOaqTrGuechuhPQBjpE.jpg,[27],1255616,es,La Hierba del Diablo,,241.975,/3VWB8odtO2KcXCXrFDFVNWGKmq8.jpg,2024-03-14,La Hierba del Diablo,False,3.0,1,['Horror']
